# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	211804
#@/user_id	linux
a 	啊	c=456 d=1.87061 t=211804
han shu 	函數	c=207 d=3.01449 t=211804
han shu 	漢書	c=1 d=1.7539e-51 t=211804
han shu diao yong 	函數調用	c=5 d=0.00900478 t=211804
han shu dui xiang 	函數對象	c=2 d=1.43949e-10 t=211804
han shu fa 	函數法	c=1 d=1.2853e-41 t=211804
han shu jia 	寒暑假	c=7 d=5.13732e-18 t=211804
han shu jia shi jian 	寒暑假實踐	c=1 d=6.35745e-25 t=211804
han shu lei 	函數類	c=1 d=2.4387e-76 t=211804
han shu qiu zhi 	函數求值	c=1 d=8.57117e-40 t=211804
han shu shi 	函數式	c=11 d=0.57695 t=211804
han shu ti 	函數體	c=2 d=3.36331e-05 t=211804
han shui 	汗水	c=1 d=1 t=187058
han tang 	漢堂	c=1 d=1.02319e-05 t=211804
han ti 	含啼	c=2 d=1.99501 t=189885
han wang 	漢亡	c=1 d=9.77106e-52 t=211804
han wu ji 	寒武紀	c=2 d=1.12119e-44 t=211804
han xiang 	寒香	c=10 d=7.17876 t=211804
han xiang cun 	寒香村	c=2 d=0.918521 t=211804
han xin 	漢芯	c=1 d=1 t=187800
han xu 	韓旭	c=1 d=1 t=175206
han xuan 	寒暄	c=1 d=1 t=184698
han ya 	寒鴉	c=2 d=1.75201 t=189878
han ye 	寒夜	c=0 d=2.13384e-06 t=211804
han ye can deng 	寒夜殘燈	c=1 d=2.14454e-05 t=211804
han yi 	含義	c=3 d=7.2932e-44 t=211804
han yi 	寒意	c=1 d=1 t=182009
han ying 	漢英	c=3 d=1.72966e-05 t=211804
han you 	含有	c=5 d=4.0169e-06 t=211804
han yu 	漢語	c=50 d=0.000105163 t=211804
han yu da ci dian 	漢語大詞典	c=1 d=6.94669e-09 t=211804
han yu da zi dian 	漢語大字典	c=1 d=6.74139e-09 t=211804
han yu pin yin 	漢語拼音	c=1 d=1 t=160989
han yu wu 	漢語無	c=1 d=2.22131e-07 t=211804
han yu yan 	漢語言	c=2 d=1.72253 t=189748
han yu zhong 	漢語中	c=2 d=1 t=196847
han yu zhong guo 	漢語中國	c=1 d=1 t=154238
han zhi lei 	韓志磊	c=292 d=2.49705 t=211804
han zi 	漢字	c=4 d=6.24769e-26 t=211804
han zu 	漢族	c=14 d=0.981296 t=211804
hang 	行	c=14 d=0.000653881 t=211804
hang ban 	航班	c=3 d=3.46869e-15 t=211804
hang hao 	行號	c=1 d=1.19218e-68 t=211804
hang hui 	行會	c=1 d=1 t=210533
hang jiao huan 	行交換	c=2 d=5.66399e-40 t=211804
hang kong 	航空	c=1 d=0.00010622 t=211804
hang kong jian 	行空間	c=1 d=1.46443e-76 t=211804
hang kong xue 	航空學	c=1 d=1 t=194604
hang lie 	行列	c=2 d=3.67043e-33 t=211804
hang lie shi 	行列式	c=5 d=1.07047e-07 t=211804
hang nei 	行內	c=1 d=8.46425e-10 t=211804
hang shu 	行數	c=1 d=1.34034e-05 t=211804
hang xing 	航行	c=1 d=1 t=175026
hang ye 	行業	c=18 d=0.000854495 t=211804
hang zou 	行走	c=0 d=0.1 t=191215
hang zou qi 	行走其	c=1 d=1 t=191216
hao 	好	c=131 d=0.0914393 t=211804
hao 	號	c=77 d=1.00147 t=211804
hao 	豪	c=2 d=6.50841e-07 t=211804
hao 	郝	c=0 d=0.1 t=210421
hao a 	好啊	c=2 d=2.11261e-05 t=211804
hao ba 	好吧	c=19 d=0.0475355 t=211804
hao ban fa 	好辦法	c=1 d=0.07502 t=211804
hao bu hao 	好不好	c=0 d=8.57117e-41 t=211804
hao bu hao xue 	好不好學	c=1 d=8.61413e-40 t=211804
hao bu liu qing 	毫不留情	c=2 d=1.04134e-06 t=211804
hao bu rong yi 	好不容易	c=1 d=2.00951e-34 t=211804
hao bu you yu 	毫不猶豫	c=1 d=0.177284 t=211804
hao chang 	好長	c=0 d=1.70385e-35 t=211804
hao chang a 	好長啊	c=1 d=1.7124e-34 t=211804
hao cheng 	號稱	c=1 d=1.51695e-20 t=211804
hao cheng ji 	好成績	c=1 d=1 t=172483
hao chu 	好處	c=12 d=5.14711e-11 t=211804
hao chu shi 	好處是	c=1 d=2.99367e-47 t=211804
hao da 	浩大	c=2 d=5.58928e-10 t=211804
hao de 	好的	c=128 d=1.97963 t=211804
hao de duo 	好得多	c=1 d=0.00149594 t=211804
hao de hen 	好得很	c=1 d=6.46913e-24 t=211804
hao dian 	好點	c=2 d=1.5383e-09 t=211804
hao dian mei 	好點沒	c=1 d=1.54602e-08 t=211804
hao dou 	好鬥	c=1 d=1 t=207674
hao du shu 	好讀書	c=10 d=2.50692 t=179570
hao duo 	好多	c=1 d=2.68831e-47 t=211804
hao duo nian 	好多年	c=1 d=3.11329e-08 t=211804
hao duo nian qian 	好多年前	c=1 d=2.70179e-46 t=211804
hao fan 	浩繁	c=1 d=1.30268e-52 t=211804
hao fang 	好方	c=1 d=1.875e-13 t=211804
hao fei 	耗費	c=8 d=0.00124328 t=211804
hao fei le 	耗費了	c=1 d=2.90124e-31 t=211804
hao fei wo 	耗費我	c=1 d=6.22203e-07 t=211804
hao gan 	好感	c=2 d=3.82099e-06 t=211804
hao gao 	好高	c=1 d=1.60217e-17 t=211804
hao ge 	豪哥	c=4 d=5.55443e-54 t=211804
hao gong zuo 	好工作	c=1 d=2.16154e-39 t=211804
hao hao 	好好	c=9 d=0.272532 t=211804
hao hao du shu 	好好讀書	c=1 d=1.38041e-28 t=211804
hao hao xiang xiang 	好好想想	c=1 d=0.0699482 t=211804
hao he huai 	好和壞	c=1 d=0.382893 t=211804
hao hua 	豪華	c=1 d=1.95045e-36 t=211804
hao hua de 	豪華的	c=1 d=6.03261e-55 t=211804
hao huai 	好壞	c=11 d=0.366993 t=211804
hao ji 	好幾	c=0 d=3.13263e-23 t=211804
hao ji ci 	好幾次	c=1 d=1 t=210600
hao ji ge 	好幾個	c=1 d=1.84576e-34 t=211804
hao ji hui 	好機會	c=2 d=4.75219e-13 t=211804
hao ji pian 	好幾篇	c=1 d=2.35458e-16 t=211804
hao ji ping 	好幾屏	c=1 d=3.14833e-22 t=211804
hao ji tian 	好幾天	c=2 d=8.21129e-06 t=211804
hao jiao 	號角	c=1 d=1 t=165698
hao jie 	浩劫	c=0 d=1.64497e-33 t=211804
hao jie can yang 	浩劫殘陽	c=1 d=1.65322e-32 t=211804
hao jin 	耗盡	c=1 d=9.79135e-47 t=211804
hao jiu 	好久	c=1 d=1.85659e-44 t=211804
hao kan 	好看	c=1 d=0.0314298 t=211804
hao la 	好啦	c=1 d=0.000349153 t=211804
hao lao 	好老	c=1 d=0.00213348 t=211804
hao lao a 	好老啊	c=1 d=9.75776e-36 t=211804
hao le 	好了	c=14 d=0.00448245 t=211804
hao le yi dian 	好了一點	c=1 d=0.0450492 t=211804
hao lou 	號樓	c=2 d=4.12841e-34 t=211804
hao ma 	好嘛	c=1 d=5.51152e-51 t=211804
hao ma 	號碼	c=1 d=1 t=175056
hao ma fan 	好麻煩	c=1 d=2.1863e-26 t=211804
hao mao 	好貓	c=1 d=1 t=173140
hao men 	豪門	c=1 d=1 t=191289
hao miao 	毫秒	c=2 d=0.0409665 t=211804
hao pa 	好怕	c=1 d=1 t=184900
hao peng you 	好朋友	c=1 d=1 t=196943
hao qi 	好奇	c=4 d=1.31063e-06 t=211804
hao qi de 	好奇的	c=1 d=2.58343e-19 t=211804
hao qiao 	好巧	c=0 d=2.67127e-31 t=211804
hao qiao bu qiao 	好巧不巧	c=2 d=5.38276e-30 t=211804
hao ran 	浩然	c=0 d=0.1 t=182100
hao ren 	郝仁	c=1 d=1 t=210419
hao shen 	豪紳	c=1 d=1 t=191292
hao shi 	好事	c=5 d=1.83219e-06 t=211804
hao shi 	耗時	c=2 d=4.81386e-47 t=211804
hao shi fu 	郝師傅	c=8 d=5.16217 t=210633
hao shu 	好書	c=2 d=1 t=190386
hao si 	好似	c=1 d=1.39571e-40 t=211804
hao tian 	昊天	c=1 d=1.19097e-56 t=211804
hao ting 	好聽	c=1 d=0.0317456 t=211804
hao wa 	好哇	c=1 d=0.00150344 t=211804
hao wan 	好玩	c=1 d=2.23286e-05 t=211804
hao wu 	毫無	c=2 d=3.26502e-09 t=211804
hao wu yi wen 	毫無疑問	c=5 d=0.0164078 t=211804
hao wu yi yi 	毫無意義	c=1 d=2.67918e-06 t=211804
hao xi guan 	好習慣	c=1 d=0.00318278 t=211804
hao xiang 	好像	c=148 d=0.378136 t=211804
hao xiang mei you 	好像沒有	c=1 d=1 t=161280
hao xiang shi 	好象是	c=2 d=6.04611e-44 t=211804
hao xiang shuo 	好像說	c=1 d=1 t=171938
hao xiang xiang 	好像向	c=1 d=1 t=164286
hao xiang ye shi 	好像也是	c=2 d=0.392586 t=211804
hao xie 	好些	c=1 d=0.00117088 t=211804
hao xuan 	昊萱	c=18 d=1.09191e-05 t=211804
hao xuan 	耗萱	c=1 d=1.05432e-34 t=211804
hao ya 	好呀	c=1 d=0.00708341 t=211804
hao yao 	浩溔	c=1 d=3.21292e-55 t=211804
hao yi dian 	好一點	c=11 d=4.39229e-05 t=211804
hao yi si 	好意思	c=2 d=6.19079e-36 t=211804
hao yi xie 	好一些	c=1 d=2.83066e-06 t=211804
hao you 	好友	c=1 d=4.43936e-07 t=211804
hao you zhi zhong 	好友之中	c=1 d=1 t=209340
hao zhan 	好戰	c=2 d=0.00501661 t=211804
hao zhao 	號召	c=1 d=1 t=164552
hao zhao li 	號召力	c=1 d=2.42373e-33 t=211804
hao zhu yi 	好主意	c=1 d=1 t=171800
hao zhuan 	好轉	c=2 d=5.20061e-15 t=211804
he 	何	c=9 d=0.008396 t=211804
he 	合	c=6 d=1.47774e-07 t=211804
he 	和	c=2273 d=4.06841 t=211804
he 	喝	c=1 d=1 t=182223
he 	核	c=16 d=1.57045e-16 t=211804
he 	盒	c=3 d=4.49482e-05 t=211804
he 	荷	c=1 d=2.62372e-54 t=211804
he 	賀	c=1 d=0.0108067 t=211804
he 	鶴	c=0 d=0.115208 t=211804
he ai 	和藹	c=1 d=1 t=211590
he ban 	合辦	c=7 d=1 t=190590
he bang e 	和邦額	c=1 d=0.0140519 t=211804
he bao 	核爆	c=2 d=1.52455e-20 t=211804
he bei 	河北	c=1 d=1 t=201981
he bie ren 	和別人	c=1 d=2.57703e-78 t=211804
he bing 	合併	c=44 d=0.0375229 t=211804
he bing chong tu 	合併衝突	c=1 d=4.30816e-06 t=211804
he bing li 	何炳棣	c=1 d=1 t=185568
he bing shi 	合併時	c=1 d=4.62054e-06 t=211804
he cang du 	和藏獨	c=1 d=2.19883e-05 t=211804
he cha 	喝茶	c=2 d=0.000291637 t=211804
he cha 	覈查	c=1 d=1 t=203092
he chang 	何嘗	c=1 d=0.319819 t=211804
he cheng 	合成	c=5 d=0.377192 t=211804
he cheng ci 	合成詞	c=2 d=1.44709 t=186110
he chu 	何處	c=5 d=1.11128e-06 t=211804
he cuan di 	和篡第	c=1 d=3.9481e-38 t=211804
he dan 	核彈	c=1 d=1 t=183320
he ding 	覈定	c=1 d=8.06515e-30 t=211804
he duo le 	喝多了	c=1 d=1.45747e-20 t=211804
he er lai 	何而來	c=0 d=1.08927e-07 t=211804
he er meng 	荷爾蒙	c=1 d=1 t=197612
he fa 	合法	c=5 d=0.0724398 t=211804
he fa xing 	合法性	c=1 d=9.05454e-09 t=211804
he fei 	賀飛	c=5 d=0.489192 t=211804
he fei lao shi 	賀飛老師	c=2 d=1.8189e-38 t=211804
he feng yuan 	何鳳元	c=4 d=1.01636 t=185580
he fu 	和服	c=2 d=0.00873865 t=211804
he ge 	合格	c=6 d=6.33456e-12 t=211804
he ge zheng 	合格證	c=1 d=1.88504e-17 t=211804
he he 	呵呵	c=2 d=1.73591e-18 t=211804
he he you ming 	赫赫有名	c=1 d=2.04343e-25 t=211804
he hu 	合乎	c=1 d=5.26289e-08 t=211804
he hua 	荷花	c=1 d=0.955997 t=211804
he huo 	合夥	c=1 d=1 t=209882
he i 	和i	c=2 d=0.628135 t=211804
he ji 	合計	c=4 d=4.5289e-35 t=211804
he ji 	合集	c=1 d=1.74313e-08 t=211804
he ju xiao wu 	鶴居小屋	c=1 d=0.65377 t=211804
he kai 	合開	c=1 d=1 t=186702
he kong jian 	核空間	c=2 d=2.93627e-76 t=211804
he kuang 	何況	c=2 d=0.00257991 t=211804
he la 	赫拉	c=1 d=4.03278e-23 t=211804
he lao shi 	賀老師	c=39 d=0.108609 t=211804
he li 	合力	c=1 d=1 t=184586
he li 	合理	c=21 d=0.802519 t=211804
he li 	合禮	c=1 d=6.4303e-12 t=211804
he li de 	合理的	c=1 d=4.56726e-46 t=211804
he li ji qun 	鶴立雞羣	c=1 d=8.86892e-30 t=211804
he li xing 	合理性	c=1 d=1 t=202440
he liu 	河流	c=2 d=1.82901e-15 t=211804
he nan 	河南	c=0 d=1.33479e-16 t=211804
he nan ne 	河南呢	c=2 d=1.34148e-15 t=211804
he nei 	河內	c=1 d=4.07761e-06 t=211804
he ni 	和你	c=2 d=4.43439e-26 t=211804
he ni men 	和你們	c=1 d=1 t=176990
he ni yi qi 	和你一起	c=3 d=2.7232 t=200157
he nin 	和您	c=1 d=3.3234e-41 t=211804
he ping 	和平	c=1 d=0.0620385 t=211804
he ping jie jue 	和平解決	c=1 d=1 t=185547
he ping lun 	何評論	c=1 d=3.06423e-27 t=211804
he ping nian dai 	和平年代	c=1 d=1.80891e-32 t=211804
he ping shi wei 	和平示威	c=1 d=1.73621e-20 t=211804
he qing he li 	合情合理	c=1 d=0.574072 t=211804
he qing lu 	荷清路	c=1 d=3.13646e-07 t=211804
he qu 	合取	c=1 d=1.86721e-08 t=211804
he qu he cong 	何去何從	c=1 d=0.0152985 t=211804
he qu zhi 	合取支	c=3 d=2.98506 t=208577
he qu zhi 	合取枝	c=2 d=1.96561 t=208567
he qun 	合羣	c=0 d=4.41708e-36 t=211804
he qun de 	合羣的	c=1 d=4.43922e-35 t=211804
he ran 	何然	c=1 d=1 t=205161
he ren 	何人	c=1 d=1.50651e-27 t=211804
he shang 	合上	c=1 d=1 t=154717
he shi 	何時	c=2 d=3.55468e-09 t=211804
he shi 	合適	c=18 d=0.431728 t=211804
he shi 	覈實	c=1 d=1 t=172508
he shi ye 	核事業	c=1 d=1.48383e-25 t=211804
he shu 	合數	c=1 d=1.58861e-63 t=211804
he shui 	喝水	c=1 d=2.37622e-06 t=211804
he suan 	核酸	c=2 d=1.82192 t=211804
he suan jian ce 	核酸檢測	c=4 d=1.83712 t=211804
he ta 	和他	c=5 d=0.140858 t=211804
he ta men 	和他們	c=4 d=1.87079e-16 t=211804
he tang 	荷塘	c=1 d=2.98797e-55 t=211804
he ti 	合體	c=2 d=3.31087e-26 t=211804
he tian xing 	鶴天行	c=5 d=3.16301 t=211804
he tong 	合同	c=1 d=1 t=164638
he wo 	和我	c=16 d=0.0623495 t=211804
he wu qi 	核武器	c=2 d=1.23693 t=187494
he xie 	和諧	c=3 d=0.000564257 t=211804
he xie hao 	和寫好	c=1 d=2.37089e-09 t=211804
he xie hao 	和諧號	c=1 d=2.38278e-09 t=211804
he xin 	核心	c=30 d=0.465029 t=211804
he xin ban wei 	核心班委	c=1 d=1 t=165025
he xin biao zhun ku 	核心標準庫	c=1 d=7.01151e-30 t=211804
he xin dai ma 	核心代碼	c=2 d=2.98456e-38 t=211804
he xin jia zhi 	核心價值	c=1 d=0.0536647 t=211804
he xin tai 	核心態	c=1 d=2.78985e-41 t=211804
he xin zai qian 	核心在前	c=1 d=1 t=196835
he xing 	核型	c=2 d=0.171187 t=211804
he xiu feng 	何秀峯	c=8 d=0.00621991 t=211804
he yan 	覈驗	c=1 d=3.96856e-40 t=211804
he ye 	荷葉	c=0 d=0.0362402 t=211804
he yi 	合一	c=0 d=0.1 t=155054
he yi qi 	合一起	c=1 d=3.81567e-19 t=211804
he yi qian 	和以前	c=1 d=1.40323e-15 t=211804
he yi xia 	合一下	c=1 d=1 t=155055
he yin 	合音	c=1 d=1.09005 t=189144
he ying 	合影	c=4 d=1.36765e-07 t=211804
he yong 	何勇	c=1 d=0.00321477 t=211804
he you xiang 	和郵箱	c=1 d=1.78294e-09 t=211804
he yuan lai 	和原來	c=1 d=8.28764e-56 t=211804
he yue 	合約	c=1 d=1 t=196891
he zai 	何在	c=1 d=1 t=191356
he zai 	合在	c=1 d=1.2853e-41 t=211804
he zai yi qi 	合在一起	c=2 d=3.20244e-46 t=211804
he zao dao 	和遭到	c=1 d=1.11716e-68 t=211804
he zhong 	何種	c=10 d=3.16142e-12 t=211804
he zhong tian 	何中天	c=1 d=8.73985e-34 t=211804
he zu yi 	和足以	c=1 d=8.29355e-35 t=211804
he zui 	喝醉	c=1 d=8.3408e-43 t=211804
he zui le 	喝醉了	c=1 d=4.19665e-21 t=211804
he zuo 	合作	c=13 d=0.00161245 t=211804
he zuo fang 	合作方	c=1 d=1 t=201438
he zuo guan xi 	合作關係	c=1 d=1.68724e-07 t=211804
he zuo zhe 	合作者	c=1 d=1.63138e-52 t=211804
hei 	嘿	c=4 d=1.81396e-06 t=211804
hei 	黑	c=3 d=5.71598e-09 t=211804
hei an 	黑暗	c=0 d=2.6157e-19 t=211804
hei ban 	黑板	c=1 d=1 t=173354
hei ban bao 	黑板報	c=1 d=8.62118e-79 t=211804
hei bang 	黑幫	c=4 d=0.264689 t=211804
hei ge er 	黑格爾	c=3 d=0.00144459 t=211804
hei he 	黑盒	c=1 d=1 t=193774
hei hei 	嘿嘿	c=1 d=4.55872e-25 t=211804
hei hei hei 	嘿嘿嘿	c=1 d=6.06944e-09 t=211804
hei hei yi xiao 	嘿嘿一笑	c=1 d=4.58157e-24 t=211804
hei hua 	黑話	c=2 d=4.23869e-50 t=211804
hei jiao 	黑膠	c=2 d=0.741221 t=211804
hei jin 	黑進	c=1 d=1.82051e-19 t=211804
hei ke 	黑客	c=1 d=5.19337e-28 t=211804
hei long jiang 	黑龍江	c=1 d=1 t=189472
hei mao 	黑貓	c=2 d=1.03652 t=173796
hei mo fa 	黑魔法	c=1 d=0.00326335 t=211804
hei ren 	黑人	c=1 d=5.73078e-10 t=211804
hei se 	黑色	c=3 d=0.1026 t=211804
hei yi ren 	黑衣人	c=1 d=1.61575e-27 t=211804
hei zi 	黑字	c=1 d=1.67644e-49 t=211804
hen 	很	c=151 d=1.49149 t=211804
hen 	痕	c=1 d=0.0444892 t=211804
hen bang 	很棒	c=1 d=0.000531398 t=211804
hen bu 	很不	c=3 d=5.40256e-22 t=211804
hen bu cuo 	很不錯	c=14 d=0.0581343 t=211804
hen bu cuo le 	很不錯了	c=1 d=1.00604e-12 t=211804
hen bu hao 	很不好	c=1 d=0.0401553 t=211804
hen bu zhuan ye 	很不專業	c=1 d=0.965605 t=211804
hen cai 	很菜	c=1 d=7.3315e-55 t=211804
hen can kui 	很慚愧	c=1 d=1 t=179361
hen cha 	很差	c=2 d=0.0241131 t=211804
hen cha jin 	很差勁	c=1 d=1.37143e-10 t=211804
hen chang 	很長	c=5 d=0.0483156 t=211804
hen chang jian 	很常見	c=4 d=0.113608 t=211804
hen da 	很大	c=32 d=0.106782 t=211804
hen da cheng du 	很大程度	c=1 d=1 t=177671
hen da cheng du shang 	很大程度上	c=1 d=1 t=196668
hen da yi bu fen 	很大一部分	c=2 d=0.000259956 t=211804
hen di 	很低	c=1 d=8.14179e-53 t=211804
hen dong 	很懂	c=2 d=1 t=177162
hen dou 	很都	c=3 d=4.95203e-27 t=211804
hen duo 	很多	c=128 d=1.16409 t=211804
hen duo bian 	很多遍	c=1 d=4.08886e-09 t=211804
hen duo ci 	很多次	c=2 d=4.08747e-05 t=211804
hen duo dong xi 	很多東西	c=1 d=6.46803e-22 t=211804
hen duo fang mian 	很多方面	c=1 d=2.01615e-14 t=211804
hen duo ke 	很多課	c=1 d=5.43721e-09 t=211804
hen duo nian hou 	很多年後	c=1 d=0.00562801 t=211804
hen duo ren 	很多人	c=12 d=0.00214418 t=211804
hen duo shi hou 	很多時候	c=5 d=3.91772e-06 t=211804
hen duo yang 	很多樣	c=1 d=1 t=157818
hen duo zhong 	很多種	c=1 d=2.58431e-23 t=211804
hen fang bian 	很方便	c=3 d=7.13856e-06 t=211804
hen fei shi jian 	很費時間	c=1 d=1.16941e-47 t=211804
hen fu he 	很符合	c=1 d=7.56942e-19 t=211804
hen fu za 	很複雜	c=1 d=1.58542e-10 t=211804
hen gan 	很乾	c=1 d=3.86531e-24 t=211804
hen gan xing qu 	很感興趣	c=2 d=7.45292e-13 t=211804
hen gao 	很高	c=15 d=0.264477 t=211804
hen guang 	很廣	c=1 d=3.77963e-25 t=211804
hen hao 	很好	c=32 d=0.12049 t=211804
hen hao xie 	很好寫	c=1 d=0.010889 t=211804
hen huai 	很壞	c=1 d=0.000118571 t=211804
hen ji 	痕跡	c=1 d=8.78544e-07 t=211804
hen jian 	很尖	c=1 d=2.8248e-11 t=211804
hen jian dan 	很簡單	c=13 d=0.0107269 t=211804
hen jing xian 	很驚險	c=1 d=3.90217e-18 t=211804
hen jiu 	很久	c=11 d=0.00752142 t=211804
hen jiu yi qian 	很久以前	c=1 d=7.26744e-40 t=211804
hen kai 	很開	c=1 d=4.91377e-24 t=211804
hen ke neng 	很可能	c=1 d=1.37166e-12 t=211804
hen ke xi 	很可惜	c=6 d=0.103312 t=211804
hen ku nan nv 	很苦難女	c=1 d=2.77839e-22 t=211804
hen kuai 	很快	c=6 d=0.190139 t=211804
hen kuai de 	很快的	c=1 d=1.99263e-23 t=211804
hen kuai le 	很快樂	c=1 d=5.944e-28 t=211804
hen kuan da 	很寬大	c=1 d=2.22509e-27 t=211804
hen kun nan 	很困難	c=2 d=7.33697e-05 t=211804
hen lan 	很爛	c=1 d=5.86567e-19 t=211804
hen lao 	很老	c=2 d=0.0800583 t=211804
hen li hai 	很厲害	c=1 d=0.00402593 t=211804
hen li jie 	很理解	c=1 d=1.19571e-44 t=211804
hen ling ren 	很令人	c=1 d=1.50155e-47 t=211804
hen man 	很慢	c=4 d=0.000217133 t=211804
hen man chang 	很漫長	c=1 d=6.18553e-26 t=211804
hen mang 	很忙	c=2 d=3.54058e-50 t=211804
hen mei yi si 	很沒意思	c=1 d=0.0254765 t=211804
hen mi mi 	很祕密	c=1 d=0.0137736 t=211804
hen ming xian 	很明顯	c=4 d=0.0889216 t=211804
hen nan 	很難	c=29 d=0.594072 t=211804
hen nan de 	很難得	c=3 d=0.0188734 t=211804
hen nan shi xian 	很難實現	c=1 d=7.42056e-50 t=211804
hen nan shuo 	很難說	c=3 d=0.000236397 t=211804
hen pang da 	很龐大	c=1 d=8.57728e-19 t=211804
hen ping fan 	很平凡	c=1 d=3.22913e-26 t=211804
hen qi dai 	很期待	c=1 d=1 t=157206
hen qi guai 	很奇怪	c=2 d=0.0731678 t=211804
hen qi miao 	很奇妙	c=1 d=4.38533e-09 t=211804
hen qia dang 	很恰當	c=1 d=1.43431e-08 t=211804
hen qiang 	很強	c=11 d=0.151137 t=211804
hen qiang le 	很強了	c=1 d=6.59084e-08 t=211804
hen qing chu 	很清楚	c=3 d=0.0134895 t=211804
hen qing yi 	很輕易	c=1 d=0.000246044 t=211804
hen rang ren 	很讓人	c=2 d=1 t=209497
hen ren tong 	很認同	c=2 d=0.0229371 t=211804
hen rong xing 	很榮幸	c=2 d=2.22388e-50 t=211804
hen rong yi 	很容易	c=17 d=0.00278085 t=211804
hen shao 	很少	c=17 d=0.0475963 t=211804
hen shao le 	很少了	c=1 d=5.02516e-23 t=211804
hen shen 	很深	c=1 d=6.01621e-23 t=211804
hen shi he 	很適合	c=3 d=0.0837432 t=211804
hen shi luo 	很失落	c=1 d=5.7298e-08 t=211804
hen shu 	很熟	c=2 d=0.025223 t=211804
hen shuang kuai 	很爽快	c=1 d=9.40453e-14 t=211804
hen sui yi 	很隨意	c=1 d=0.000144823 t=211804
hen suo sui 	痕瑣碎	c=1 d=0.145148 t=211804
hen te bie 	很特別	c=1 d=1.64408e-55 t=211804
hen te shu 	很特殊	c=1 d=5.35244e-30 t=211804
hen tie bu cheng gang 	恨鐵不成鋼	c=1 d=0.00752142 t=211804
hen wan bei 	很完備	c=1 d=1 t=204715
hen wei xian 	很危險	c=2 d=0.0185924 t=211804
hen xi 	很細	c=1 d=9.54016e-06 t=211804
hen xi huan 	很喜歡	c=5 d=0.00222055 t=211804
hen xi wang 	很希望	c=1 d=1.89906e-16 t=211804
hen xiang 	很像	c=1 d=8.27496e-38 t=211804
hen xiang 	很想	c=0 d=1.04134e-07 t=211804
hen xiang shi 	很想是	c=1 d=1.04656e-06 t=211804
hen xiao 	很小	c=5 d=5.32895e-05 t=211804
hen xin ren 	很信任	c=1 d=1.10649e-14 t=211804
hen xun su 	很迅速	c=1 d=0.0137736 t=211804
hen yan zhong 	很嚴重	c=1 d=8.21129e-07 t=211804
hen yi han 	很遺憾	c=3 d=3.60718e-05 t=211804
hen you 	很有	c=12 d=0.0374406 t=211804
hen you gan jue 	很有感覺	c=1 d=1.81045e-42 t=211804
hen you jing shen 	很有精神	c=1 d=1 t=177442
hen you ke neng 	很有可能	c=6 d=0.167696 t=211804
hen you ming 	很有名	c=1 d=1.62777e-26 t=211804
hen you xing 	很有幸	c=1 d=4.11285e-19 t=211804
hen you yi si 	很有意思	c=2 d=1 t=208869
hen you yi yi 	很有意義	c=1 d=2.86057e-12 t=211804
hen you yong 	很有用	c=2 d=0.0902655 t=211804
hen yuan 	很遠	c=2 d=1.50028e-37 t=211804
hen zao 	很早	c=0 d=7.94238e-27 t=211804
hen zheng chang 	很正常	c=1 d=0.000174253 t=211804
hen zhi chi 	很支持	c=1 d=1.41757e-17 t=211804
hen zhi zhuo 	很執着	c=1 d=5.99353e-08 t=211804
hen zhong 	很重	c=0 d=7.4385e-50 t=211804
hen zhong yao 	很重要	c=11 d=0.238149 t=211804
hen zhu ming 	很著名	c=2 d=1 t=197043
hen zhun que 	很準確	c=1 d=0.12938 t=211804
hen zi ran 	很自然	c=1 d=2.10208e-05 t=211804
heng 	哼	c=1 d=3.97735e-66 t=211804
heng 	橫	c=3 d=2.71311e-07 t=211804
heng bao 	橫暴	c=2 d=1.8808e-11 t=211804
heng bo 	橫波	c=1 d=5.23737e-39 t=211804
heng deng 	恆等	c=1 d=1.45663e-72 t=211804
heng e 	橫額	c=1 d=1 t=184588
heng fu 	橫幅	c=1 d=0.0023935 t=211804
heng gong 	橫功	c=1 d=1 t=210272
heng kong chu shi 	橫空出世	c=1 d=1 t=172877
heng kua 	橫跨	c=2 d=2.32268e-32 t=211804
heng liang 	衡量	c=2 d=1.17327e-27 t=211804
heng liu 	恆流	c=1 d=2.15639e-11 t=211804
heng liu yuan 	恆流源	c=2 d=3.45878e-11 t=211804
heng sao 	橫掃	c=1 d=1 t=178960
heng shu 	橫豎	c=1 d=7.53552e-25 t=211804
heng wen 	恆溫	c=1 d=4.32078e-11 t=211804
heng xiang 	橫向	c=1 d=0.062662 t=211804
heng xiang zu zhi 	橫向組織	c=2 d=1.85642 t=179958
heng ya 	恆壓	c=2 d=3.60916e-11 t=211804
heng yue 	橫越	c=1 d=1 t=186646
heng zhou 	橫軸	c=7 d=2.0265e-20 t=211804
heng zhou shang 	橫軸上	c=1 d=3.20364e-21 t=211804
hong 	宏	c=23 d=0.382893 t=211804
hong 	泓	c=5 d=0.000315927 t=211804
hong 	紅	c=6 d=0.932394 t=211804
hong 	轟	c=1 d=0.0104099 t=211804
hong bo 	鴻博	c=0 d=1.16845e-09 t=211804
hong dong yi shi 	轟動一時	c=1 d=1 t=189558
hong ge 	紅歌	c=1 d=1 t=174255
hong guan 	宏觀	c=4 d=0.0639279 t=211804
