# Rime user dictionary
#@/db_name	hzl_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	36939
#@/user_id	linusboyle
a 	啊	c=48 d=1.87061 t=36939
dao jin tian 	到今天	c=1 d=5.54705e-09 t=36939
dao ju 	道具	c=4 d=0.529941 t=36939
dao kuang 	刀狂	c=0 d=0.000782838 t=36939
dao kuang jian chi 	刀狂劍癡	c=1 d=0.00786762 t=36939
dao le 	到了	c=9 d=0.00786762 t=36939
dao li 	道理	c=2 d=0.102284 t=36939
dao lu 	道路	c=2 d=0.193016 t=36939
dao lun 	導論	c=7 d=1.02096 t=36343
dao mu qian wei zhi 	到目前爲止	c=1 d=6.28563e-09 t=36939
dao ru 	倒入	c=1 d=5.08274e-10 t=36939
dao ru 	導入	c=2 d=8.37717e-06 t=36939
dao shi 	倒是	c=15 d=0.846885 t=36939
dao shu 	倒數	c=1 d=1 t=31223
dao shuo 	刀說	c=15 d=0.0578036 t=36939
dao shuo yi shu 	刀說異數	c=18 d=1.31149 t=36939
dao suo 	刀鎖	c=1 d=4.09805e-06 t=36939
dao ti 	導體	c=1 d=0.066205 t=36939
dao ti qiu 	道踢球	c=1 d=0.0658748 t=36939
dao tu 	導圖	c=1 d=1 t=33755
dao wei 	到尾	c=0 d=0.0118837 t=36939
dao wu di 	刀無敵	c=1 d=0.701173 t=36939
dao xian zai 	到現在	c=2 d=0.209088 t=36939
dao xiang shi 	倒像是	c=3 d=0.00843808 t=36939
dao xu 	倒序	c=1 d=8.61294e-09 t=36939
dao ye 	倒也	c=1 d=4.3417e-09 t=36939
dao ye bu shi 	倒也不是	c=1 d=0.0550232 t=36939
dao zhe li 	到這裏	c=1 d=1.41271e-06 t=36939
dao zhi 	導致	c=19 d=1.28193 t=36939
dao zui 	道罪	c=1 d=6.54104e-07 t=36939
dao zui hou 	到最後	c=3 d=0.290835 t=36939
de 	地	c=119 d=1.85109 t=36939
de 	得	c=23 d=0.3698 t=36939
de 	的	c=2858 d=22.7772 t=36939
de ba 	的吧	c=1 d=1 t=30620
de bu 	得不	c=0 d=0.0181772 t=36939
de bu dao 	得不到	c=1 d=1 t=32485
de chu 	得出	c=2 d=9.56811e-11 t=36939
de dao 	得到	c=23 d=0.980342 t=36939
de dao 	得道	c=0 d=1.36083e-08 t=36939
de dao de 	得到的	c=1 d=3.03591e-06 t=36939
de dao le 	得到了	c=1 d=1 t=35209
de dao zun zhe 	得道尊者	c=1 d=1.36765e-07 t=36939
de e 	的額	c=1 d=2.77556e-10 t=36939
de fen 	得分	c=1 d=8.15341e-11 t=36939
de gao wang zhong 	德高望重	c=1 d=7.06753e-06 t=36939
de hua 	的話	c=0 d=2.48002e-10 t=36939
de ma 	的嗎	c=1 d=1 t=33667
de qing kuang 	的情況	c=0 d=0.1 t=35115
de qing kuang xia 	的情況下	c=1 d=0.216536 t=36939
de shi 	的是	c=3 d=0.260931 t=36939
de shuo ming 	的說明	c=1 d=1 t=28945
de yi 	得以	c=1 d=0.035437 t=36939
de yi 	得益	c=3 d=0.0994847 t=36939
de yi yu 	得益於	c=2 d=1.48899e-07 t=36939
de zhi 	得知	c=1 d=1 t=34778
dei 	得	c=2 d=0.241714 t=36939
dei you 	得有	c=0 d=0.1 t=35514
dei you yi ge 	得有一個	c=1 d=1 t=35515
deng 	燈	c=1 d=0.0336854 t=36939
deng 	等	c=42 d=0.698483 t=36939
deng cha shu lie 	等差數列	c=1 d=1 t=36073
deng chang 	登場	c=1 d=0.00178203 t=36939
deng dai 	等待	c=6 d=0.748297 t=36939
deng den 	等㩐	c=1 d=2.19353e-06 t=36939
deng deng 	等等	c=11 d=0.679758 t=36939
deng fang mian 	等方面	c=1 d=5.06962e-09 t=36939
deng gong 	鄧公	c=4 d=0.00410726 t=36939
deng guang 	燈光	c=4 d=0.000554596 t=36939
deng guang mie 	燈光滅	c=1 d=0.00030659 t=36939
deng ji 	等級	c=1 d=0.234857 t=36939
deng ji fen 	等級分	c=1 d=1.81865e-07 t=36939
deng ji zhi shu 	等級指數	c=1 d=0.216536 t=36939
deng jia wu 	等價物	c=3 d=0.00391509 t=36939
deng jun 	鄧俊	c=0 d=0.00720785 t=36939
deng jun hui 	鄧俊輝	c=1 d=0.0724398 t=36939
deng lu 	登錄	c=3 d=0.0104099 t=36939
deng lu shi bai 	登錄失敗	c=4 d=1.40197 t=28905
deng ren 	等人	c=1 d=0.704688 t=36939
deng shi mian 	等勢面	c=1 d=0.0645703 t=36939
deng ta 	等他	c=1 d=0.00169512 t=36939
deng wo 	等我	c=0 d=2.55555e-10 t=36939
deng wo na tian 	等我哪天	c=1 d=2.56836e-09 t=36939
deng xiao 	等效	c=2 d=3.17031e-09 t=36939
deng yu 	等於	c=0 d=0.1 t=36118
di 	低	c=3 d=1.88849 t=34165
di 	地	c=2 d=4.89442e-07 t=36939
di 	底	c=1 d=6.77633e-11 t=36939
di 	第	c=36 d=0.851555 t=36939
di 	荻	c=1 d=0.00414854 t=36939
di 	蒂	c=0 d=0.000491728 t=36939
di ba ci 	第八次	c=1 d=0.873716 t=36939
di ba zhang 	第八章	c=1 d=1 t=34749
di bu 	地步	c=4 d=0.126841 t=36939
di bu 	底部	c=6 d=0.00304276 t=36939
di ceng 	底層	c=3 d=0.429557 t=36939
di ceng suan fa 	底層算法	c=1 d=2.19883e-05 t=36939
di chan 	地產	c=1 d=0.00719046 t=36939
di er 	第二	c=3 d=0.00331267 t=36939
di er ban 	第二版	c=1 d=0.0117371 t=36939
di er bu 	第二步	c=2 d=0.525084 t=36939
di er bu fen 	第二部分	c=1 d=0.0308074 t=36939
di er bu lei 	第二部類	c=1 d=5.6028e-09 t=36939
di er ci 	第二次	c=5 d=0.384812 t=36939
di er ding yi 	第二定義	c=1 d=0.00153381 t=36939
di er ge 	第二個	c=1 d=1.37783e-06 t=36939
di er hang 	第二行	c=1 d=0.00444934 t=36939
di er ji 	第二集	c=15 d=1.32453 t=36939
di er jie duan 	第二階段	c=1 d=1 t=35967
di er lu 	第二路	c=1 d=0.000804733 t=36939
di er wei 	第二維	c=2 d=0.034756 t=36939
di er you jiu 	第二悠久	c=1 d=0.00285124 t=36939
di er zhong 	第二種	c=3 d=0.172047 t=36939
di fang 	地方	c=24 d=2.50267 t=36939
di fang le 	地方了	c=1 d=0.00516939 t=36939
di gai lv 	低概率	c=1 d=0.0223708 t=36939
di gui 	遞歸	c=23 d=0.12818 t=36939
di gui ji 	遞歸基	c=1 d=8.27663e-11 t=36939
di guo 	帝國	c=0 d=5.7189e-16 t=36939
di jia 	低價	c=1 d=1 t=29643
di jian 	遞減	c=1 d=1 t=29644
di jiu ci 	第九次	c=1 d=0.00431784 t=36939
di jiu jie 	第九屆	c=1 d=3.46692e-09 t=36939
di lai 	抵賴	c=1 d=1 t=31778
di lai 	遞來	c=1 d=1 t=31779
di lie 	低劣	c=1 d=1 t=32819
di liu ci 	第六次	c=1 d=7.5996e-07 t=36939
di liu ye 	第六頁	c=1 d=0.0702988 t=36939
di qi 	第七	c=0 d=0.1 t=30218
di qi ci 	第七次	c=2 d=0.0115047 t=36939
di qi zhou 	第七周	c=1 d=1 t=30219
di qi zhou 	第起縐	c=1 d=1 t=29309
di qu 	地區	c=1 d=1 t=34086
di que 	的確	c=23 d=0.778801 t=36939
di que shi 	的確是	c=1 d=0.0158817 t=36939
di ren 	敵人	c=1 d=0.0995012 t=36939
di san 	第三	c=2 d=6.64275e-09 t=36939
di san ban 	第三版	c=2 d=0.00425356 t=36939
di san ci 	第三次	c=3 d=0.382893 t=36939
di san duan 	第三段	c=1 d=0.283654 t=36939
di san fang 	第三方	c=2 d=0.12307 t=36939
di san fang cha jian 	第三方插件	c=1 d=6.65595e-06 t=36939
di san ji 	第三極	c=1 d=1 t=31222
di san ji 	第三集	c=1 d=1.95052e-07 t=36939
di san lu 	第三路	c=1 d=0.00082099 t=36939
di san ye 	第三頁	c=1 d=0.0695994 t=36939
di san zhang 	第三章	c=1 d=5.69038e-15 t=36939
di san zhong 	第三種	c=1 d=0.00404611 t=36939
di shang 	地上	c=2 d=0.000157922 t=36939
di shi ge 	第十個	c=1 d=1 t=29519
di shi yi 	第十一	c=0 d=1.16544e-08 t=36939
di shi yi ci 	第十一此	c=1 d=1.17128e-07 t=36939
di si ci 	第四次	c=5 d=0.937067 t=36939
di si ji 	第四集	c=6 d=0.464645 t=36939
di si lu 	第四路	c=1 d=0.000829241 t=36939
di si zhang 	第四章	c=1 d=1 t=31329
di tou she 	地頭蛇	c=1 d=0.0617291 t=36939
di tui 	遞推	c=2 d=0.0136366 t=36939
di tui shi 	遞推式	c=2 d=2.52674e-09 t=36939
di wei 	低位	c=1 d=1 t=30359
di wei 	地位	c=1 d=0.11475 t=36939
di wu ci 	第五次	c=3 d=7.06873e-08 t=36939
di wu da 	第五大	c=0 d=0.1 t=31119
di wu da jie 	第五大節	c=1 d=1 t=31120
di xia 	低下	c=4 d=1.87366e-06 t=36939
di xia 	地下	c=1 d=3.37316e-10 t=36939
di xia 	底下	c=1 d=1 t=35402
di yi 	第一	c=5 d=0.00364281 t=36939
di yi bu 	第一步	c=1 d=1.35732e-06 t=36939
di yi bu fen 	第一部分	c=1 d=0.0291588 t=36939
di yi bu lei 	第一部類	c=1 d=5.49185e-09 t=36939
di yi chu 	第一出	c=1 d=0.0213864 t=36939
di yi ci 	第一次	c=9 d=0.339596 t=36939
di yi ge 	第一個	c=6 d=0.0464216 t=36939
di yi ji 	第一集	c=17 d=0.0364149 t=36939
di yi jie duan 	第一階段	c=1 d=1 t=35966
di yi pian 	第一篇	c=1 d=3.60963e-13 t=36939
di yi zhong 	第一種	c=1 d=1.82839e-11 t=36939
di yu 	低於	c=1 d=1 t=29866
di yu 	地獄	c=2 d=1.04771 t=36939
di yuan 	地緣	c=2 d=2.269e-11 t=36939
di zhi 	地址	c=1 d=1 t=29798
di zi 	笛子	c=1 d=0.690734 t=36939
dia 	嗲	c=1 d=2.48601e-08 t=36939
dian 	電	c=2 d=4.255e-07 t=36939
dian 	點	c=9 d=0.261167 t=36939
dian biao 	電錶	c=5 d=0.396531 t=36939
dian dao wei zhi 	點到爲止	c=1 d=0.0746459 t=36939
dian dian 	點點	c=1 d=0.000602152 t=36939
dian dian he 	點電荷	c=1 d=0.0639279 t=36939
dian dian tou 	點點頭	c=1 d=0.00047843 t=36939
dian ding 	奠定	c=1 d=8.4206e-08 t=36939
dian dong shi 	電動勢	c=1 d=0.524663 t=36939
dian dui dian 	點對點	c=1 d=0.321422 t=36939
dian he 	電荷	c=1 d=0.062662 t=36939
dian ji 	惦記	c=1 d=1 t=32306
dian ji 	點擊	c=5 d=0.839474 t=36939
dian ji shi jian 	點擊事件	c=1 d=0.344728 t=36939
dian liu 	電流	c=6 d=4.02705 t=36939
dian liu ji 	電流計	c=2 d=0.363112 t=36939
dian liu yuan 	電流源	c=1 d=2.63382e-11 t=36939
dian lu 	電路	c=20 d=0.0665368 t=36939
dian lu tu 	電路圖	c=1 d=1 t=31563
dian nao 	電腦	c=2 d=0.000399619 t=36939
dian nao ping mu 	電腦屏幕	c=1 d=0.000187825 t=36939
dian ping 	點評	c=3 d=0.0141224 t=36939
dian qi 	電氣	c=1 d=0.00200924 t=36939
dian qiao 	電橋	c=17 d=1.7746 t=36939
dian re 	電熱	c=0 d=4.77842e-12 t=36939
dian re tie 	電熱萜	c=1 d=2.38318e-11 t=36939
dian re tie 	電熱鐵	c=2 d=2.08393e-10 t=36939
dian shi 	電視	c=2 d=3.69849e-05 t=36939
dian shi bu dai xi 	電視布袋戲	c=8 d=0.0681034 t=36939
dian shi cha 	電勢差	c=1 d=0.0972957 t=36939
dian shi ju 	電視劇	c=1 d=0.000841773 t=36939
dian shi li 	電視裏	c=1 d=0.00516939 t=36939
dian wang 	電網	c=1 d=1 t=34032
dian wei 	電位	c=1 d=1 t=35420
dian wei 	點位	c=1 d=1 t=35419
dian xing 	典型	c=4 d=0.332871 t=36939
dian ya 	電壓	c=16 d=0.695463 t=36939
dian ya biao 	電壓表	c=1 d=2.19995e-11 t=36939
dian ying 	電影	c=7 d=0.00285124 t=36939
dian yuan 	電源	c=3 d=1.31304 t=36939
dian yuan dian ya 	電源電壓	c=1 d=0.116484 t=36939
dian ze 	典則	c=1 d=0.0655462 t=36939
dian zi 	電子	c=6 d=3.70488e-07 t=36939
dian zi qian bao 	電子錢包	c=1 d=5.19884e-11 t=36939
dian zi xue 	電子學	c=43 d=1.42176 t=36939
dian zu 	電阻	c=29 d=5.92553 t=36939
dian zu lv 	電阻率	c=1 d=1.36129e-11 t=36939
dian zu zhi 	電阻值	c=3 d=0.402319 t=36939
diao cha 	調查	c=2 d=0.000845993 t=36939
diao huan 	調換	c=1 d=1.38809e-05 t=36939
diao le 	掉了	c=0 d=0.1 t=30662
diao qiao 	吊橋	c=1 d=0.0461896 t=36939
diao yan 	調研	c=9 d=0.000816895 t=36939
diao yong 	調用	c=21 d=2.73466 t=36939
diao yong zhe 	調用者	c=1 d=2.37622e-06 t=36939
die dai 	迭代	c=13 d=0.0114301 t=36939
die dai ci shu 	迭代次數	c=1 d=0.000120363 t=36939
die dai qi 	迭代器	c=1 d=0.304221 t=36939
ding 	定	c=1 d=0.183599 t=36939
ding 	頂	c=5 d=0.000796726 t=36939
ding biao 	定標	c=2 d=2.41686e-10 t=36939
ding bu 	頂部	c=3 d=0.00873865 t=36939
ding ceng 	頂層	c=3 d=1 t=31508
ding dian 	頂點	c=1 d=0.918512 t=36939
ding lan 	頂欄	c=2 d=6.8942e-08 t=36939
ding li 	定理	c=2 d=1.86437e-05 t=36939
ding lun 	定論	c=1 d=4.59749e-06 t=36939
ding rong 	定容	c=2 d=2.19024e-10 t=36939
ding shang 	盯上	c=2 d=1.09408e-06 t=36939
ding shi qi 	定時器	c=1 d=0.00914087 t=36939
ding xiang 	定向	c=0 d=0.000414854 t=36939
ding xiang dao 	定向到	c=1 d=0.00416933 t=36939
ding yi 	定義	c=13 d=0.0751723 t=36939
ding yi le 	定義了	c=1 d=2.71967e-06 t=36939
ding yu 	定於	c=1 d=1 t=28478
ding zi 	釘子	c=3 d=0.627771 t=36939
diu qi 	丟棄	c=2 d=7.9084e-05 t=36939
diu shi 	丟失	c=1 d=9.9586e-11 t=36939
dong 	動	c=2 d=0.00047843 t=36939
dong 	懂	c=1 d=1.59749e-11 t=36939
dong che zu 	動車組	c=2 d=5.0237e-09 t=36939
dong de 	懂得	c=3 d=0.101266 t=36939
dong hua 	動畫	c=5 d=0.000854495 t=36939
dong jie 	凍結	c=1 d=5.67279e-08 t=36939
dong le 	懂了	c=3 d=3.61571e-09 t=36939
dong li 	動力	c=5 d=0.135335 t=36939
dong li jian you ji 	東離劍遊紀	c=1 d=1.5272e-11 t=36939
dong man 	動漫	c=3 d=0.000289942 t=36939
dong rong 	動容	c=1 d=2.43679e-08 t=36939
dong shou 	動手	c=1 d=2.69398e-12 t=36939
dong tai 	動態	c=13 d=0.316464 t=36939
dong tai gui hua 	動態規劃	c=2 d=0.111998 t=36939
dong tai nei cun 	動態內存	c=2 d=0.00577932 t=36939
dong tai shi li 	動態視力	c=1 d=0.000389752 t=36939
dong tai you hua 	動態優化	c=1 d=1 t=36498
dong tian 	冬天	c=1 d=0.0550232 t=36939
dong wu 	動物	c=0 d=2.65297e-09 t=36939
dong xi 	東西	c=10 d=0.116343 t=36939
dong zuo 	動作	c=5 d=1.16837 t=36939
dou 	都	c=26 d=0.126203 t=36939
dou ban 	豆瓣	c=1 d=2.29488e-08 t=36939
dou bei 	都被	c=3 d=0.00184551 t=36939
dou bei shi wei 	都被視爲	c=1 d=9.51715e-07 t=36939
dou bi 	都比	c=2 d=0.000448321 t=36939
dou bu 	都不	c=0 d=0.1 t=29947
dou bu hui 	都不會	c=1 d=0.22091 t=36939
dou bu ke neng 	都不可能	c=1 d=1 t=29948
dou bu neng 	都不能	c=1 d=0.00238732 t=36939
dou bu xu yao 	都不需要	c=1 d=0.0948935 t=36939
dou cha bu duo 	都差不多	c=1 d=1.54602e-08 t=36939
dou cong 	都從	c=1 d=7.69585e-08 t=36939
dou dan 	斗膽	c=2 d=0.138761 t=36939
dou di 	兜底	c=1 d=1 t=33846
dou dong 	抖動	c=1 d=0.000267872 t=36939
dou dou zhuan zhuan 	兜兜轉轉	c=1 d=2.49203e-07 t=36939
dou gei chu 	都給出	c=1 d=8.03202e-11 t=36939
dou hen duo 	都很多	c=1 d=7.10295e-06 t=36939
dou hui 	都會	c=8 d=0.752014 t=36939
dou kan de chu 	都看得出	c=1 d=7.19413e-09 t=36939
dou ke 	都可	c=1 d=1.88311e-05 t=36939
dou ke yi 	都可以	c=2 d=0.000243596 t=36939
dou ke yi shi shi 	都可以試試	c=1 d=1 t=35372
dou kou 	豆蔻	c=0 d=0.0467666 t=36939
dou kou shao nv 	豆蔻少女	c=1 d=0.470011 t=36939
dou mei 	都沒	c=1 d=1 t=28661
dou mei you 	都沒有	c=1 d=2.70611e-06 t=36939
dou mei you hen hao 	都沒有很好	c=1 d=4.32005e-09 t=36939
dou neng 	都能	c=1 d=0.451581 t=36939
dou nv 	竇女	c=1 d=0.618783 t=36939
dou qu dao 	都取到	c=1 d=7.63639e-05 t=36939
dou shi 	都是	c=21 d=0.45397 t=36939
dou shi yi yang de 	都是一樣的	c=1 d=8.50378e-06 t=36939
dou shi yong 	都使用	c=2 d=0.00456657 t=36939
dou shuo 	都說	c=1 d=9.16921e-10 t=36939
dou wei 	竇唯	c=15 d=0.372457 t=36939
dou xiang 	都想	c=1 d=6.57494e-09 t=36939
dou xing 	都行	c=1 d=1 t=29087
dou xu yao 	都需要	c=2 d=0.00276806 t=36939
dou yong 	都用	c=1 d=0.00224287 t=36939
dou you 	都有	c=6 d=0.526034 t=36939
dou you 	都由	c=1 d=2.42463e-08 t=36939
dou you xie 	都有些	c=1 d=1.09775e-09 t=36939
dou you yi zhong 	都有一種	c=1 d=1.80086e-09 t=36939
dou zai 	都在	c=3 d=0.167797 t=36939
dou zheng 	鬥爭	c=2 d=0.092089 t=36939
dou zhi 	鬥智	c=1 d=0.0294518 t=36939
dou zhi dao 	都知道	c=1 d=0.124307 t=36939
dou zhi shi 	都只是	c=1 d=1.06036e-13 t=36939
dou zhi xing 	都執行	c=1 d=1 t=35839
dou zhi you 	都只有	c=1 d=1 t=36831
du 	度	c=4 d=0.0617291 t=36939
du 	渡	c=0 d=3.5449e-07 t=36939
du 	獨	c=1 d=8.6323e-06 t=36939
du 	讀	c=1 d=1 t=32492
du bai 	獨白	c=1 d=0.102284 t=36939
du bo 	賭博	c=1 d=0.0327124 t=36939
du chu 	讀出	c=1 d=3.38189e-11 t=36939
du din 	讀𨈖	c=1 d=1 t=32922
du ding 	篤定	c=1 d=1 t=32924
du guo 	度過	c=1 d=0.0953692 t=36939
du guo 	渡過	c=2 d=0.0958472 t=36939
du le 	堵了	c=1 d=1 t=29434
du le 	讀了	c=1 d=7.93157e-10 t=36939
du li 	獨立	c=2 d=0.00229371 t=36939
du li yun xing 	獨立運行	c=1 d=0.0230521 t=36939
du men 	堵門	c=1 d=7.93022e-08 t=36939
du qu 	讀取	c=15 d=0.110253 t=36939
du ru 	讀入	c=2 d=0.0243554 t=36939
du ru mi 	渡入迷	c=1 d=3.56267e-06 t=36939
du shi 	都市	c=1 d=0.0381969 t=36939
du shu 	度數	c=4 d=0.0137049 t=36939
du shu 	讀數	c=6 d=0.64147 t=36939
du te 	獨特	c=1 d=4.255e-07 t=36939
du wo 	讀我	c=1 d=6.0548e-10 t=36939
du xie 	讀寫	c=0 d=0.1 t=35925
du xie suo 	讀寫鎖	c=2 d=1.71534 t=35993
du yan long 	獨眼龍	c=1 d=1.56506e-05 t=36939
du zhe 	讀者	c=3 d=0.000422213 t=36939
duan 	斷	c=1 d=1 t=29096
duan 	段	c=4 d=0.140858 t=36939
duan 	短	c=1 d=2.78702e-05 t=36939
duan 	端	c=4 d=0.000662162 t=36939
duan ban 	短板	c=1 d=2.99173e-10 t=36939
duan dian 	斷電	c=2 d=1.00069 t=30723
duan duan 	斷斷	c=1 d=0.268474 t=36939
duan duan 	短短	c=3 d=0.0889216 t=36939
duan duan xu xu 	斷斷續續	c=1 d=8.13236e-10 t=36939
duan kan 	端看	c=1 d=0.0590129 t=36939
duan lian 	鍛鍊	c=2 d=0.000459671 t=36939
duan lie 	斷裂	c=1 d=1 t=32107
duan lu 	短路	c=1 d=0.29671 t=36939
duan lun 	斷論	c=1 d=1.15702e-10 t=36939
duan ping kuai 	短平快	c=1 d=7.03228e-06 t=36939
duan qi 	短期	c=1 d=0.0333733 t=36939
duan yan 	斷言	c=2 d=1 t=34972
duan zao 	鍛造	c=1 d=7.60089e-09 t=36939
dui 	堆	c=12 d=0.0687394 t=36939
dui 	對	c=97 d=3.22605 t=36939
dui bai 	對白	c=3 d=8.41608e-06 t=36939
dui bi 	對比	c=2 d=0.444858 t=36939
dui bi du 	對比度	c=1 d=0.904837 t=36939
dui bu qi 	對不起	c=1 d=1 t=33182
dui cheng 	對稱	c=0 d=0.000585769 t=36939
dui cheng de 	對稱的	c=1 d=0.00588705 t=36939
dui cheng xing 	對稱性	c=1 d=7.17556e-08 t=36939
dui ci 	對此	c=4 d=0.283688 t=36939
dui dai 	對待	c=1 d=1 t=32998
dui ding 	堆頂	c=7 d=0.0178665 t=36939
dui fang 	對方	c=5 d=1.1574 t=36939
dui hua 	對話	c=1 d=6.68931e-06 t=36939
dui hua kuang 	對話框	c=4 d=1.38349 t=36939
dui jiang ji 	對講機	c=1 d=0.0132336 t=36939
dui jiao xian 	對角線	c=1 d=0.0963276 t=36939
dui jie 	對接	c=2 d=1.98511 t=36772
dui jin tian 	對今天	c=1 d=0.0259911 t=36939
dui ju qing 	對劇情	c=1 d=8.41916e-06 t=36939
dui li 	對立	c=1 d=0.00271219 t=36939
dui li guan xi 	對立關係	c=1 d=0.0266491 t=36939
dui lie 	隊列	c=18 d=0.0917177 t=36939
dui mian 	對面	c=2 d=0.20089 t=36939
dui ni 	對你	c=2 d=1.96561 t=31696
dui pai 	對拍	c=1 d=0.00822975 t=36939
dui pai xu 	堆排序	c=1 d=0.0816756 t=36939
dui qi 	對齊	c=1 d=0.597501 t=36939
dui shou xi 	對手戲	c=1 d=0.0275983 t=36939
dui ta 	對他	c=0 d=0.000111936 t=36939
dui ta 	對它	c=1 d=1.31063e-06 t=36939
dui ta men 	對他們	c=1 d=1 t=34904
dui ta ren 	對他人	c=1 d=0.00112497 t=36939
dui wai 	對外	c=3 d=0.000180812 t=36939
dui wo 	對我	c=3 d=0.000359786 t=36939
dui wo er yan 	對我而言	c=1 d=0.00346515 t=36939
dui xiang 	對象	c=7 d=0.748264 t=36939
dui ying 	對應	c=9 d=0.0254765 t=36939
dui ying yu 	對應于	c=2 d=0.119433 t=36939
dui yu 	對於	c=97 d=0.998083 t=36939
dui yu ta men 	對於他們	c=1 d=4.12925e-07 t=36939
dui yu wo 	對於我	c=1 d=1.64956e-06 t=36939
dui yu zhe ge wen ti 	對於這個問題	c=1 d=1 t=33798
dui zhan 	對戰	c=23 d=3.96503 t=36939
dui zhan ping tai 	對戰平臺	c=1 d=1 t=35218
dui zhang 	隊長	c=0 d=0.0818731 t=36939
dui zhao 	對照	c=1 d=0.814647 t=36939
dui zhe zhong 	對這種	c=1 d=6.9972e-06 t=36939
dui zi ji 	對自己	c=1 d=0.00113061 t=36939
dun huang 	敦煌	c=2 d=1.00022 t=36363
dun sheng 	頓生	c=1 d=0.0274607 t=36939
duo 	多	c=11 d=0.035437 t=36939
duo 	朵	c=1 d=3.23198e-07 t=36939
duo bu 	踱步	c=1 d=0.000662162 t=36939
duo chang 	多長	c=1 d=7.15582e-05 t=36939
duo ci 	多次	c=3 d=0.0259919 t=36939
duo da 	多大	c=2 d=0.0263839 t=36939
duo da cheng du shang 	多大程度上	c=1 d=1 t=33931
duo duo shao shao 	多多少少	c=3 d=0.0254765 t=36939
duo fa 	多發	c=1 d=0.0665368 t=36939
duo fan shi 	多範式	c=2 d=0.00290884 t=36939
duo ge 	多個	c=1 d=1 t=31511
duo hang 	多行	c=1 d=0.321422 t=36939
duo kui le 	多虧了	c=1 d=1.7042e-07 t=36939
duo le 	多了	c=2 d=0.000871757 t=36939
duo lu 	多路	c=1 d=0.00367942 t=36939
duo nian yi hou 	多年以後	c=8 d=0.0391907 t=36939
duo ren 	多人	c=0 d=0.00682212 t=36939
duo ru niu mao 	多如牛毛	c=1 d=5.27741e-11 t=36939
duo shao 	多少	c=6 d=0.49744 t=36939
duo shao ci 	多少次	c=2 d=2.07789e-08 t=36939
duo shao nian 	多少年	c=1 d=2.11369e-11 t=36939
duo wen jian 	多文件	c=1 d=1.13686e-09 t=36939
duo xian cheng 	多線程	c=1 d=1.47036e-06 t=36939
duo xiang 	多項	c=0 d=0.1 t=33549
duo xiang fen bu 	多項分佈	c=1 d=1 t=33550
duo yi 	多疑	c=1 d=0.028297 t=36939
duo yi dian 	多一點	c=1 d=1 t=34598
duo yi ge 	多一個	c=1 d=1 t=35651
duo yu 	多餘	c=1 d=1.8981e-10 t=36939
duo yue 	多月	c=0 d=0.1 t=35267
e 	惡	c=0 d=8.8967e-09 t=36939
e 	額	c=9 d=0.215456 t=36939
e bu 	惡補	c=2 d=9.21909e-08 t=36939
e du 	額度	c=1 d=1.80522e-08 t=36939
e guo 	俄國	c=2 d=0.0407175 t=36939
e hui 	堊灰	c=0 d=1.18878e-06 t=36939
e le me 	餓了麼	c=1 d=1.11396e-05 t=36939
e si 	餓死	c=1 d=6.07254e-15 t=36939
e wai 	額外	c=3 d=0.00245409 t=36939
e wu xian 	惡無限	c=1 d=8.9413e-08 t=36939
en 	嗯	c=3 d=0.212248 t=36939
en ge si 	恩格斯	c=1 d=0.477114 t=36939
en qing 	恩情	c=2 d=0.872143 t=36939
er 	二	c=10 d=0.338164 t=36939
er 	兒	c=1 d=1 t=31694
er 	而	c=58 d=0.83522 t=36939
er bu bi 	而不必	c=1 d=1 t=29771
er bu shi 	而不是	c=12 d=0.267135 t=36939
er bu xu yao 	而不需要	c=1 d=0.70822 t=36939
er cha 	二叉	c=1 d=0.276651 t=36939
er cha shu 	二叉樹	c=6 d=0.939459 t=36939
er ci 	二次	c=0 d=0.0913931 t=36939
er ci chuang zuo 	二次創作	c=2 d=1.84626 t=36939
er deng jiang 	二等獎	c=1 d=0.000426457 t=36939
er er 	爾爾	c=1 d=0.00914087 t=36939
er fei 	而非	c=1 d=0.597501 t=36939
er fen 	二分	c=4 d=0.000132358 t=36939
er fen cha zhao 	二分查找	c=2 d=7.5617e-07 t=36939
er hou 	爾後	c=1 d=1 t=32243
er hou 	而後	c=7 d=0.786628 t=36939
er ji guan 	二極管	c=1 d=0.0309618 t=36939
er jin zhi 	二進制	c=17 d=0.00992511 t=36939
er lai 	二來	c=2 d=0.0675424 t=36939
er liu hua tan 	二硫化碳	c=1 d=1 t=36576
er lu 	二路	c=2 d=0.00618964 t=36939
er lu gui bing 	二路歸併	c=1 d=0.00577048 t=36939
er nian ji 	二年級	c=1 d=0.0761538 t=36939
er qie 	而且	c=20 d=0.457219 t=36939
er ru 	而入	c=1 d=0.000241172 t=36939
er shi 	二十	c=0 d=5.65718e-06 t=36939
er shi 	而是	c=9 d=0.0536647 t=36939
er shi ji 	二十集	c=1 d=5.68554e-05 t=36939
er shi jiu nian 	二十九年	c=1 d=0.00887071 t=36939
er shi si 	二十四	c=1 d=0.319819 t=36939
er shi tong guo 	而是通過	c=1 d=3.49331e-10 t=36939
er shi zhi 	而是指	c=1 d=1 t=35934
er shou 	二手	c=1 d=1 t=36763
er tan 	而談	c=1 d=4.24402e-06 t=36939
er wei 	二位	c=1 d=1 t=30276
