# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	7834
#@/user_id	linusboyle
a 	啊	c=2 d=5.95428e-11 t=7834
dang dai 	當代	c=2 d=1.99005 t=7674
dang di 	當地	c=3 d=0.105396 t=7834
dang hen duo 	當很多	c=1 d=2.05583e-08 t=7834
dang qian 	當前	c=2 d=0.83527 t=7834
dang qian zhi 	當前值	c=1 d=5.11883e-05 t=7834
dang ran 	當然	c=15 d=0.254283 t=7834
dang zuo 	當作	c=0 d=0.1 t=7441
dang zuo le 	當作了	c=1 d=1 t=7442
dao 	刀	c=1 d=0.0697676 t=7834
dao 	到	c=10 d=0.0131634 t=7834
dao 	道	c=2 d=0.025056 t=7834
dao chu 	導出	c=1 d=0.00114197 t=7834
dao de 	道德	c=1 d=3.20865e-10 t=7834
dao di 	到底	c=1 d=0.131336 t=7834
dao jin tian 	到今天	c=1 d=5.54705e-09 t=7834
dao le 	到了	c=3 d=0.00786762 t=7834
dao li 	道理	c=1 d=0.102284 t=7834
dao lu 	道路	c=1 d=0.0117371 t=7834
dao mu qian wei zhi 	到目前爲止	c=1 d=6.28563e-09 t=7834
dao ru 	導入	c=1 d=8.37717e-06 t=7834
dao shi 	倒是	c=9 d=0.846885 t=7834
dao ti 	導體	c=1 d=1 t=7291
dao ti qiu 	道踢球	c=1 d=1 t=7290
dao wu di 	刀無敵	c=1 d=0.701173 t=7834
dao xiang shi 	倒像是	c=1 d=2.79574e-07 t=7834
dao ye 	倒也	c=1 d=4.3417e-09 t=7834
dao ye bu shi 	倒也不是	c=1 d=0.0550232 t=7834
dao zui 	道罪	c=1 d=6.54104e-07 t=7834
dao zui hou 	到最後	c=1 d=1 t=7587
de 	地	c=22 d=0.474862 t=7834
de 	得	c=4 d=0.3698 t=7834
de 	的	c=638 d=13.6672 t=7834
de bu 	得不	c=0 d=0.0181772 t=7834
de dao 	得到	c=2 d=8.85587e-08 t=7834
de dao 	得道	c=0 d=1.36083e-08 t=7834
de dao de 	得到的	c=1 d=3.03591e-06 t=7834
de dao zun zhe 	得道尊者	c=1 d=1.36765e-07 t=7834
de e 	的額	c=1 d=2.77556e-10 t=7834
de fen 	得分	c=1 d=8.15341e-11 t=7834
de hua 	的話	c=0 d=2.48002e-10 t=7834
de qing kuang xia 	的情況下	c=1 d=1 t=7528
de shi 	的是	c=2 d=0.260931 t=7834
dei 	得	c=1 d=0.241714 t=7834
deng 	等	c=12 d=0.54679 t=7834
deng deng 	等等	c=3 d=0.246052 t=7834
deng fang mian 	等方面	c=1 d=5.06962e-09 t=7834
deng gong 	鄧公	c=1 d=1 t=6735
deng guang 	燈光	c=2 d=1.16189e-08 t=7834
deng jun 	鄧俊	c=0 d=0.1 t=7308
deng jun hui 	鄧俊輝	c=1 d=1 t=7309
deng ren 	等人	c=1 d=0.704688 t=7834
deng shi mian 	等勢面	c=1 d=1 t=7286
deng ta 	等他	c=1 d=0.00169512 t=7834
di 	地	c=1 d=3.61775e-10 t=7834
di 	第	c=9 d=0.851555 t=7834
di 	蒂	c=0 d=0.000491728 t=7834
di bu 	底部	c=2 d=0.000123955 t=7834
di ceng 	底層	c=0 d=2.18786e-06 t=7834
di ceng suan fa 	底層算法	c=1 d=2.19883e-05 t=7834
di chan 	地產	c=1 d=0.00719046 t=7834
di er 	第二	c=2 d=0.00331267 t=7834
di er bu 	第二步	c=2 d=0.525084 t=7834
di er bu fen 	第二部分	c=1 d=1 t=7138
di er ci 	第二次	c=1 d=1 t=7104
di er hang 	第二行	c=1 d=0.00444934 t=7834
di er ji 	第二集	c=3 d=8.08162e-07 t=7834
di er zhong 	第二種	c=1 d=0.00384878 t=7834
di fang 	地方	c=4 d=0.288091 t=7834
di gai lv 	低概率	c=1 d=1 t=7074
di gui 	遞歸	c=1 d=1 t=6785
di que 	的確	c=7 d=0.778801 t=7834
di que shi 	的確是	c=0 d=0.0158817 t=7834
di ren 	敵人	c=1 d=0.0995012 t=7834
di san ci 	第三次	c=1 d=1 t=7642
di san fang 	第三方	c=1 d=1 t=7415
di san ji 	第三集	c=1 d=1.95052e-07 t=7834
di san zhong 	第三種	c=1 d=0.00404611 t=7834
di si ci 	第四次	c=1 d=1 t=7821
di si ji 	第四集	c=6 d=0.464645 t=7834
di tou she 	地頭蛇	c=1 d=0.0617291 t=7834
di tui 	遞推	c=1 d=1 t=6783
di xia 	低下	c=1 d=3.39007e-10 t=7834
di xia 	地下	c=1 d=3.37316e-10 t=7834
di yi 	第一	c=2 d=0.00364281 t=7834
di yi bu fen 	第一部分	c=1 d=1 t=7127
di yi ci 	第一次	c=3 d=0.0675431 t=7834
di yi ge 	第一個	c=2 d=0.0464216 t=7834
dian 	點	c=2 d=1.04438 t=7471
dian dian he 	點電荷	c=1 d=1 t=7284
dian dui dian 	點對點	c=1 d=0.321422 t=7834
dian he 	電荷	c=1 d=1 t=7280
dian ji 	點擊	c=1 d=0.0343009 t=7834
dian ji shi jian 	點擊事件	c=1 d=0.344728 t=7834
dian ping 	點評	c=1 d=2.31235e-09 t=7834
dian shi 	電視	c=0 d=1.31743e-09 t=7834
dian shi bu dai xi 	電視布袋戲	c=3 d=0.0681034 t=7834
dian xing 	典型	c=2 d=0.332871 t=7834
dian ying 	電影	c=1 d=0.00285124 t=7834
dian zi qian bao 	電子錢包	c=1 d=5.19884e-11 t=7834
dian zi xue 	電子學	c=8 d=3.5145 t=7653
diao cha 	調查	c=2 d=0.000845993 t=7834
diao yan 	調研	c=1 d=0.000816895 t=7834
diao yong 	調用	c=10 d=2.73466 t=7834
diao yong zhe 	調用者	c=1 d=2.37622e-06 t=7834
die dai 	迭代	c=1 d=7.12376e-11 t=7834
die dai qi 	迭代器	c=1 d=1 t=7596
ding 	定	c=0 d=0.00081887 t=7834
ding dian 	頂點	c=1 d=0.918512 t=7834
ding shang 	盯上	c=2 d=1.09408e-06 t=7834
ding xiang 	定向	c=0 d=0.000414854 t=7834
ding xiang dao 	定向到	c=1 d=0.00416933 t=7834
ding yi 	定義	c=8 d=0.0171323 t=7834
ding zi 	釘子	c=2 d=1.00443 t=7740
diu qi 	丟棄	c=1 d=1.92613e-06 t=7834
dong de 	懂得	c=1 d=0.101266 t=7834
dong hua 	動畫	c=3 d=1.83412e-05 t=7834
dong rong 	動容	c=1 d=2.43679e-08 t=7834
dong tai 	動態	c=1 d=1 t=6971
dong tian 	冬天	c=1 d=0.0550232 t=7834
dong wu 	動物	c=0 d=2.65297e-09 t=7834
dong xi 	東西	c=2 d=0.116343 t=7834
dou 	都	c=11 d=0.0409732 t=7834
dou bei 	都被	c=1 d=0.00184551 t=7834
dou bu hui 	都不會	c=1 d=0.22091 t=7834
dou bu neng 	都不能	c=0 d=0.00238732 t=7834
dou bu xu yao 	都不需要	c=1 d=1 t=7363
dou dan 	斗膽	c=1 d=0.138761 t=7834
dou gei chu 	都給出	c=1 d=8.03202e-11 t=7834
dou hen duo 	都很多	c=1 d=7.10295e-06 t=7834
dou hui 	都會	c=3 d=0.752014 t=7834
dou kan de chu 	都看得出	c=1 d=7.19413e-09 t=7834
dou ke yi 	都可以	c=1 d=1.18631e-10 t=7834
dou nv 	竇女	c=1 d=1 t=7738
dou shi 	都是	c=5 d=0.343019 t=7834
dou shi yong 	都使用	c=2 d=0.00456657 t=7834
dou wei 	竇唯	c=4 d=1.10745 t=7382
dou xu yao 	都需要	c=2 d=0.00276806 t=7834
dou yong 	都用	c=1 d=0.00224287 t=7834
dou you 	都有	c=3 d=0.0153002 t=7834
dou zai 	都在	c=1 d=0.167797 t=7834
dou zhi dao 	都知道	c=1 d=0.124307 t=7834
du 	度	c=1 d=0.0617291 t=7834
du men 	堵門	c=1 d=7.93022e-08 t=7834
du ru 	讀入	c=1 d=6.28349e-05 t=7834
du shi 	都市	c=1 d=0.0381969 t=7834
duan 	段	c=2 d=3.39197e-06 t=7834
duan ban 	短板	c=1 d=2.99173e-10 t=7834
duan duan 	短短	c=3 d=0.0889216 t=7834
duan kan 	端看	c=1 d=0.0590129 t=7834
duan lian 	鍛鍊	c=1 d=0.000459671 t=7834
duan lun 	斷論	c=1 d=1.15702e-10 t=7834
dui 	堆	c=1 d=1 t=6763
dui 	對	c=28 d=0.212772 t=7834
dui bi du 	對比度	c=1 d=0.904837 t=7834
dui ci 	對此	c=2 d=0.121069 t=7834
dui fang 	對方	c=3 d=1.1574 t=7834
dui hua kuang 	對話框	c=4 d=1.38349 t=7834
dui jiang ji 	對講機	c=1 d=0.0132336 t=7834
dui lie 	隊列	c=6 d=4.22475 t=7068
dui mian 	對面	c=1 d=1.42347e-07 t=7834
dui pai 	對拍	c=1 d=1 t=6874
dui qi 	對齊	c=1 d=1 t=7731
dui wai 	對外	c=3 d=0.000180812 t=7834
dui wo 	對我	c=1 d=1.51932e-09 t=7834
dui xiang 	對象	c=2 d=0.748264 t=7834
dui ying 	對應	c=1 d=8.96139e-05 t=7834
dui yu 	對於	c=15 d=0.208102 t=7834
dui zhan 	對戰	c=9 d=3.96503 t=7834
dui zhang 	隊長	c=0 d=0.0818731 t=7834
duo 	多	c=2 d=0.035437 t=7834
duo ci 	多次	c=1 d=0.00155699 t=7834
duo da 	多大	c=1 d=0.0263839 t=7834
duo hang 	多行	c=1 d=1 t=7607
duo nian yi hou 	多年以後	c=1 d=1.81427e-08 t=7834
duo ren 	多人	c=0 d=0.00682212 t=7834
duo ru niu mao 	多如牛毛	c=1 d=5.27741e-11 t=7834
duo shao 	多少	c=1 d=0.000816895 t=7834
duo xian cheng 	多線程	c=1 d=1.47036e-06 t=7834
duo yi 	多疑	c=1 d=0.028297 t=7834
e 	額	c=1 d=1 t=7527
e guo 	俄國	c=2 d=0.0407175 t=7834
e wai 	額外	c=1 d=1 t=6632
en 	嗯	c=1 d=0.212248 t=7834
er 	二	c=2 d=4.48238e-10 t=7834
er 	而	c=9 d=0.740826 t=7834
er bu shi 	而不是	c=6 d=0.115326 t=7834
er deng jiang 	二等獎	c=1 d=0.000426457 t=7834
er er 	爾爾	c=1 d=0.00914087 t=7834
er jin zhi 	二進制	c=6 d=0.00992511 t=7834
er nian ji 	二年級	c=1 d=1 t=7319
er qie 	而且	c=3 d=0.0153757 t=7834
er yan 	而言	c=3 d=0.138761 t=7834
er yi 	而已	c=3 d=0.0925506 t=7834
er zhe ge 	而這個	c=0 d=7.2103e-07 t=7834
er zhe ge guo cheng zhong 	而這個過程中	c=1 d=7.24644e-06 t=7834
fa 	法	c=1 d=1 t=7834
fa bi 	法幣	c=1 d=2.12942e-10 t=7834
fa biao 	發表	c=1 d=0.000277414 t=7834
fa bing 	發兵	c=1 d=9.03116e-08 t=7834
fa bu 	發佈	c=3 d=0.000589407 t=7834
fa bu zai 	發佈在	c=2 d=0.000241172 t=7834
fa chu 	發出	c=6 d=0.279431 t=7834
fa chu jing gao 	發出警告	c=1 d=1.95524e-06 t=7834
fa guan 	法官	c=12 d=0.562661 t=7834
fa guan fu 	法官服	c=3 d=0.148732 t=7834
fa hui 	發揮	c=3 d=0.0500541 t=7834
fa lv wen shu 	法律文書	c=1 d=0.143704 t=7834
fa qi 	發起	c=1 d=0.282239 t=7834
fa sheng 	發生	c=2 d=0.00261979 t=7834
fa sheng le 	發生了	c=1 d=0.0196437 t=7834
fa song 	發送	c=12 d=5.83255 t=7834
fa wen 	發問	c=1 d=0.153355 t=7834
fa xian 	發現	c=2 d=0.068913 t=7834
fa xian le 	發現了	c=1 d=2.40631e-07 t=7834
fa xing 	發行	c=1 d=8.33823e-10 t=7834
fa xue 	法學	c=1 d=0.0587185 t=7834
fa yuan 	法院	c=1 d=0.0210669 t=7834
fa yuan li 	法院裏	c=1 d=0.114178 t=7834
fa zhan 	發展	c=13 d=0.108067 t=7834
fa zhan chu 	發展出	c=1 d=6.77633e-11 t=7834
fa zhang 	法杖	c=1 d=1.15384e-07 t=7834
fan 	反	c=1 d=0.0100017 t=7834
fan 	翻	c=2 d=0.00762106 t=7834
fan chen 	凡塵	c=2 d=0.116286 t=7834
fan chu lai 	翻出來	c=1 d=8.76574e-10 t=7834
fan dui 	反對	c=1 d=0.0417941 t=7834
fan er 	反而	c=1 d=2.14491e-07 t=7834
fan fan fu fu 	反反覆覆	c=1 d=4.02798e-09 t=7834
fan fu 	反覆	c=1 d=6.02255e-06 t=7834
fan gan 	反感	c=1 d=5.18454e-08 t=7834
fan hui 	返回	c=10 d=2.29335 t=7834
fan hui zhi 	返回值	c=5 d=0.00151111 t=7834
fan suo 	繁瑣	c=1 d=1 t=7614
fan wei 	範圍	c=1 d=9.23902e-11 t=7834
fan xing 	泛型	c=5 d=0.152826 t=7834
fan ye 	翻頁	c=2 d=1.95123 t=6681
fan zheng 	反正	c=1 d=1 t=7605
fan zui 	犯罪	c=1 d=0.0706512 t=7834
fang 	坊	c=0 d=1.17451e-11 t=7834
fang 	放	c=1 d=1.93644e-10 t=7834
fang 	方	c=1 d=0.0420036 t=7834
fang an 	方案	c=1 d=1.3138e-05 t=7834
fang bian 	方便	c=4 d=0.0350914 t=7834
fang da 	放大	c=1 d=9.49258e-06 t=7834
fang da suo xiao 	放大縮小	c=1 d=1.68696e-05 t=7834
fang dan 	防彈	c=2 d=0.144933 t=7834
fang fa 	方法	c=9 d=0.325256 t=7834
fang hui 	放回	c=1 d=3.05113e-06 t=7834
fang ju 	防具	c=1 d=0.722527 t=7834
fang mian 	方面	c=5 d=1.46084e-08 t=7834
fang qi 	放棄	c=2 d=0.818731 t=7834
fang ren 	放任	c=1 d=1 t=7680
fang shi 	方式	c=11 d=0.00220967 t=7834
fang wen 	訪問	c=5 d=1.10876 t=7834
fang xiang 	方向	c=1 d=0.00106477 t=7834
fang zao 	仿造	c=1 d=1 t=7593
fang zhe 	放着	c=1 d=0.00806679 t=7834
fang zhi 	防止	c=3 d=0.895834 t=7834
fei 	飛	c=0 d=1.73716e-08 t=7834
fei chang 	非常	c=3 d=0.00255432 t=7834
fei chang bao qian 	非常抱歉	c=1 d=5.6173e-10 t=7834
fei fa 	非法	c=1 d=1 t=7631
fei fan 	非凡	c=0 d=3.19102e-05 t=7834
fei fan gong zi 	非凡公子	c=1 d=0.000320701 t=7834
fei ji 	飛機	c=1 d=0.0081887 t=7834
fei li xing 	非理性	c=1 d=3.39885e-11 t=7834
fei qi 	廢棄	c=1 d=0.0343896 t=7834
fei qin zou shou 	飛禽走獸	c=1 d=8.3786e-08 t=7834
fei ye 	非也	c=1 d=0.0081887 t=7834
fen 	份	c=1 d=2.0923e-09 t=7834
fen guang ji 	分光計	c=3 d=2.93143 t=7117
fen kuai 	分塊	c=3 d=2.02171 t=7578
fen kuai shu zu 	分塊數組	c=3 d=2.86562 t=7550
fen li 	分離	c=1 d=5.81541e-06 t=7834
fen pei 	分配	c=1 d=0.00157264 t=7834
fen wei 	分爲	c=1 d=3.10473e-05 t=7834
fen xi 	分析	c=1 d=3.09029e-09 t=7834
fen ye 	分頁	c=4 d=0.715614 t=7834
fen ye qi 	分頁器	c=1 d=1 t=6680
fen zu 	分組	c=1 d=1 t=7274
feng 	風	c=0 d=3.06694e-09 t=7834
feng ge 	風格	c=4 d=0.376513 t=7834
feng ling yun 	風凌雲	c=14 d=0.482524 t=7834
feng mian 	封面	c=1 d=9.16921e-10 t=7834
feng xiao xiao 	風蕭蕭	c=2 d=1.9802 t=6902
feng yi 	風衣	c=3 d=0.0369462 t=7834
feng yin 	封印	c=0 d=3.24818e-08 t=7834
feng ying 	奉迎	c=1 d=0.0520787 t=7834
feng yun 	風雲	c=4 d=1.74096 t=7834
feng zhong 	風中	c=1 d=1.00037 t=7779
feng zhuang 	封裝	c=2 d=0.00117398 t=7834
fou ze 	否則	c=2 d=0.0156858 t=7834
fu 	富	c=0 d=0.0423162 t=7834
fu 	服	c=1 d=0.0123896 t=7834
fu bian 	複變	c=2 d=1.65377 t=7734
fu bian han shu 	複變函數	c=2 d=1.82696 t=7343
fu dan 	負擔	c=1 d=1 t=7221
fu gai 	覆蓋	c=1 d=0.995012 t=7834
fu he 	符合	c=2 d=0.00152619 t=7834
fu mie 	覆滅	c=1 d=1.81865e-07 t=7834
fu shi 	服飾	c=1 d=0.00946646 t=7834
fu te 	福特	c=2 d=0.0165193 t=7834
fu wen ben 	富文本	c=1 d=0.425283 t=7834
fu wu 	服務	c=2 d=1.25304e-10 t=7834
fu wu qi 	服務器	c=7 d=1.9314 t=7834
fu wu wu 	服務無	c=1 d=6.91322e-11 t=7834
fu yong 	復用	c=1 d=0.00194986 t=7834
fu za 	複雜	c=1 d=0.442639 t=7834
fu za du 	複雜度	c=1 d=1 t=6760
fu ze 	負責	c=1 d=1 t=7419
fu zhu 	輔助	c=1 d=4.82073e-05 t=7834
gai 	該	c=0 d=1.41271e-07 t=7834
gai bian 	改變	c=10 d=0.943776 t=7834
gai bian le 	改變了	c=1 d=3.66356e-11 t=7834
gai cheng 	改成	c=1 d=0.0214936 t=7834
gai han shu 	該函數	c=1 d=1.41979e-06 t=7834
gai kuo 	概括	c=1 d=2.60044e-08 t=7834
gai nian 	概念	c=1 d=1.099 t=7667
gan dao 	感到	c=2 d=0.00417096 t=7834
gan de 	乾的	c=1 d=8.48327e-07 t=7834
gan ga 	尷尬	c=1 d=0.000113353 t=7834
gan guo qu 	趕過去	c=1 d=1.02336e-07 t=7834
gan jing 	乾淨	c=1 d=0.00697795 t=7834
gan jue 	感覺	c=5 d=0.00768181 t=7834
gan qing 	感情	c=0 d=2.65297e-09 t=7834
gan qing dong wu 	感情動物	c=2 d=5.41375e-08 t=7834
gan sheng 	感生	c=1 d=1 t=7279
gan shi 	幹事	c=1 d=0.000403635 t=7834
gan shou 	感受	c=7 d=8.15092e-08 t=7834
gan shou dao 	感受到	c=2 d=1.039e-08 t=7834
gan xiang 	感想	c=1 d=6.33241e-08 t=7834
gan xie 	感謝	c=3 d=0.108609 t=7834
gan yuan 	甘願	c=1 d=4.04748e-07 t=7834
gang cai 	剛纔	c=1 d=0.00289433 t=7834
gao 	高	c=1 d=0.00687406 t=7834
gao chao 	高超	c=1 d=0.0507928 t=7834
gao du 	高度	c=0 d=1.16263e-09 t=7834
gao le 	搞了	c=1 d=1 t=7594
gao qing 	高清	c=1 d=0.0057994 t=7834
gao qing chu 	搞清楚	c=1 d=0.0169922 t=7834
gao xing 	高興	c=1 d=2.87393e-08 t=7834
gao yi xie 	高一些	c=1 d=0.0620385 t=7834
ge 	個	c=4 d=0.07867 t=7834
ge 	各	c=1 d=9.65934e-05 t=7834
ge 	歌	c=1 d=2.68657e-09 t=7834
ge fang mian 	各方面	c=1 d=9.71106e-09 t=7834
ge ge bu ru 	格格不入	c=1 d=6.67431e-09 t=7834
ge lei 	各類	c=1 d=6.25534e-11 t=7834
ge ren 	個人	c=5 d=0.0593087 t=7834
ge shu 	個數	c=1 d=1 t=6833
ge wei 	各位	c=1 d=0.00054485 t=7834
ge xin 	革新	c=2 d=2.56769e-10 t=7834
ge zhong 	各種	c=5 d=0.0715143 t=7834
gei 	給	c=10 d=2.20105 t=7834
gei chu 	給出	c=0 d=7.99196e-12 t=7834
gei le 	給了	c=1 d=1 t=6773
gen ju 	根據	c=3 d=0.000319119 t=7834
geng 	更	c=4 d=0.161529 t=7834
geng bu shi 	更不是	c=1 d=5.08188e-08 t=7834
geng die 	更迭	c=2 d=1.29315e-05 t=7834
geng duo 	更多	c=3 d=0.0875977 t=7834
geng duo de 	更多的	c=1 d=4.56508e-11 t=7834
geng duo de shi 	更多的是	c=1 d=2.37089e-09 t=7834
geng duo ren 	更多人	c=1 d=0.0685632 t=7834
geng fang bian 	更方便	c=2 d=0.000175112 t=7834
geng hao 	更好	c=1 d=1.17128e-07 t=7834
geng huan 	更換	c=1 d=6.62275e-06 t=7834
geng jia 	更加	c=1 d=0.000186888 t=7834
geng kuai 	更快	c=2 d=1.32457e-05 t=7834
geng qing xiang 	更傾向	c=1 d=8.65464e-07 t=7834
geng shen 	更深	c=1 d=1.58926e-09 t=7834
geng xi wang 	更希望	c=1 d=0.0122773 t=7834
geng xin 	更新	c=7 d=0.130811 t=7834
geng xu yao 	更需要	c=1 d=0.0113334 t=7834
gong fu 	功夫	c=1 d=0.0366992 t=7834
gong gao 	供稿	c=4 d=0.00108451 t=7834
gong gong 	公共	c=0 d=0.1 t=6737
gong ju 	工具	c=1 d=1 t=7258
gong ju lan 	工具欄	c=1 d=5.94723e-05 t=7834
gong lian 	公鏈	c=1 d=1.24092e-10 t=7834
gong min 	公民	c=1 d=1.79652e-10 t=7834
gong ming 	共鳴	c=1 d=0.00241755 t=7834
gong neng 	功能	c=2 d=1.76721 t=7809
gong ping 	公平	c=1 d=0.018968 t=7834
gong qing tuan yuan 	共青團員	c=1 d=0.00117675 t=7834
gong ren bu hui 	供認不諱	c=1 d=0.122456 t=7834
gong shi 	共識	c=1 d=1.51566e-10 t=7834
gong si 	公司	c=3 d=1.15925e-09 t=7834
gong wen bao 	公文包	c=1 d=0.0102037 t=7834
gong xian 	貢獻	c=1 d=1.32426e-10 t=7834
gong xiang ku 	共享庫	c=2 d=0.00102848 t=7834
gong yong 	公用	c=1 d=5.62896e-05 t=7834
gong you 	公有	c=2 d=0.00466938 t=7834
gong yu 	公寓	c=2 d=0.111925 t=7834
gong yu 	工於	c=1 d=0.0293049 t=7834
gong zhong 	公衆	c=1 d=0.0211736 t=7834
gong zhong hao 	公衆號	c=4 d=0.836409 t=7834
gong zi 	公子	c=0 d=3.19102e-05 t=7834
gong zuo 	工作	c=8 d=0.0648912 t=7834
gong zuo liang 	工作量	c=1 d=0.00737249 t=7834
gong zuo shi 	工作時	c=1 d=0.0178634 t=7834
gou jian 	構建	c=1 d=1 t=7772
gou mai 	購買	c=1 d=4.34244e-11 t=7834
gou zao 	構造	c=1 d=0.00177315 t=7834
gu 	古	c=1 d=1 t=6922
gu ce xi 	古冊戲	c=1 d=1.24693e-08 t=7834
gu dian 	古典	c=2 d=1.96079 t=7676
gu ding 	固定	c=1 d=0.865022 t=7834
gu fen 	股份	c=1 d=0.0072265 t=7834
gu ji 	估計	c=3 d=0.0136385 t=7834
gu lao 	古老	c=1 d=0.00511796 t=7834
gu li 	鼓裏	c=1 d=0.00186406 t=7834
gu lou 	古樓	c=0 d=8.63377e-09 t=7834
gu lou shang pu 	古樓商鋪	c=10 d=0.0393645 t=7834
gu piao 	股票	c=1 d=1 t=6944
gu qie 	姑且	c=1 d=1.49284e-08 t=7834
gu shi 	故事	c=1 d=0.0135686 t=7834
gu yi 	故意	c=1 d=1 t=7092
gu you 	固有	c=1 d=2.86008e-10 t=7834
gu zhu yi zhi 	孤注一擲	c=1 d=0.0114473 t=7834
guan 	管	c=1 d=0.327915 t=7834
guan bi 	關閉	c=1 d=0.600496 t=7834
guan dao 	管道	c=12 d=0.000869332 t=7834
guan dian 	觀點	c=6 d=0.0599053 t=7834
guan fang 	官方	c=4 d=0.12682 t=7834
guan gan 	觀感	c=1 d=4.70331e-09 t=7834
guan jian 	關鍵	c=1 d=0.181772 t=7834
guan kan 	觀看	c=2 d=1.26705e-08 t=7834
guan lian 	關聯	c=1 d=3.54074e-05 t=7834
guan xi 	關係	c=7 d=0.577309 t=7834
guan xin 	關心	c=1 d=0.0267827 t=7834
guan yu 	關於	c=6 d=0.153543 t=7834
guan zhi 	官職	c=1 d=1 t=6912
guan zhong 	觀衆	c=3 d=0.0325548 t=7834
guan zhu 	關注	c=1 d=8.54931e-10 t=7834
guang 	光	c=1 d=2.26657e-09 t=7834
guang fan 	廣泛	c=1 d=0.000411789 t=7834
gui bi 	規避	c=4 d=0.0132337 t=7834
gui fan 	規範	c=1 d=2.03995e-05 t=7834
gui xi 	貴系	c=1 d=0.000542133 t=7834
gun dong 	滾動	c=1 d=1 t=7792
gun shi 	滾石	c=1 d=1 t=7743
guo 	過	c=3 d=0.037068 t=7834
guo cheng 	過程	c=2 d=0.337902 t=7834
guo cheng zhong 	過程中	c=0 d=7.2103e-07 t=7834
guo fen 	過分	c=1 d=0.15259 t=7834
guo gao 	過高	c=1 d=3.44131e-10 t=7834
guo hou 	過後	c=1 d=0.197899 t=7834
guo ji ge 	國際歌	c=1 d=1 t=6689
guo jia 	國家	c=3 d=0.477114 t=7834
guo jia zhi du 	國家制度	c=1 d=1.87921e-10 t=7834
guo lai 	過來	c=1 d=0.293758 t=7834
guo nei 	國內	c=1 d=6.67545e-11 t=7834
guo ran 	果然	c=1 d=0.00255424 t=7834
ha xi 	哈希	c=1 d=8.56707e-05 t=7834
hai 	還	c=3 d=0.00779058 t=7834
hai bu neng 	還不能	c=1 d=0.0295994 t=7834
hai dian qu 	海淀區	c=1 d=1 t=7392
hai hui 	還會	c=1 d=1.62921e-07 t=7834
hai ji de 	還記得	c=2 d=0.0167585 t=7834
hai jia 	還加	c=0 d=0.025284 t=7834
hai jia ru 	還加如	c=1 d=0.254107 t=7834
hai long 	海龍	c=0 d=8.25245e-07 t=7834
hai shi 	還是	c=22 d=0.774331 t=7834
hai suan 	還算	c=1 d=0.000639387 t=7834
hai xia 	海峽	c=1 d=0.0248475 t=7834
hai xu yao 	還需要	c=1 d=4.0783e-08 t=7834
hai yao 	還要	c=1 d=0.151303 t=7627
hai yao zhu yi 	還要注意	c=1 d=1 t=7628
hai you 	還有	c=2 d=0.726149 t=7834
hai you xie 	還有些	c=1 d=0.0157644 t=7834
hai you yi zhong 	還有一種	c=1 d=9.51715e-07 t=7834
hai zhen 	還真	c=1 d=1.67045e-07 t=7834
han 	韓	c=2 d=0.0473622 t=7834
han dong 	寒冬	c=4 d=0.146471 t=7834
han fu 	漢服	c=1 d=1 t=6885
han juan mo 	韓狷墨	c=1 d=4.13923e-06 t=7834
han shu 	函數	c=16 d=1.43974 t=7834
han shu shi 	函數式	c=4 d=2.76658 t=7255
han yu 	漢語	c=1 d=2.76077e-06 t=7834
han zhi lei 	韓志磊	c=13 d=0.287303 t=7834
han zu 	漢族	c=1 d=0.00117088 t=7834
hang 	行	c=0 d=0.1 t=6828
hang shu 	行數	c=1 d=1.34034e-05 t=7834
hang ye 	行業	c=12 d=0.000854495 t=7834
hao 	好	c=2 d=0.000213803 t=7834
hao 	號	c=2 d=0.631284 t=7834
hao ba 	好吧	c=3 d=0.0475355 t=7834
hao ban fa 	好辦法	c=1 d=0.07502 t=7834
hao hao 	好好	c=1 d=0.272532 t=7834
hao wu yi yi 	毫無意義	c=1 d=2.67918e-06 t=7834
hao xi guan 	好習慣	c=1 d=1 t=6684
he 	何	c=1 d=0.008396 t=7834
he 	和	c=65 d=1.59968 t=7834
he 	鶴	c=0 d=0.115208 t=7834
he fu 	和服	c=1 d=1 t=6886
he hu 	合乎	c=1 d=5.26289e-08 t=7834
he hua 	荷花	c=1 d=1 t=7825
he ju xiao wu 	鶴居小屋	c=1 d=0.65377 t=7834
he li 	合理	c=2 d=9.33348e-07 t=7834
he ping 	和平	c=1 d=0.0620385 t=7834
he shi 	合適	c=1 d=0.0129068 t=7834
he tian xing 	鶴天行	c=5 d=3.16301 t=7834
he wo 	和我	c=1 d=0.00540733 t=7834
he xin 	核心	c=3 d=0.0534436 t=7834
he xin jia zhi 	核心價值	c=1 d=0.0536647 t=7834
he xing 	核型	c=1 d=2.31157e-05 t=7834
he yong 	何勇	c=1 d=1 t=6686
he zuo 	合作	c=1 d=4.14995e-07 t=7834
hei bang 	黑幫	c=4 d=0.264689 t=7834
hei se 	黑色	c=2 d=0.1026 t=7834
hen 	很	c=7 d=1.25567 t=7834
hen 	痕	c=1 d=0.0444892 t=7834
hen bu cuo 	很不錯	c=1 d=0.0581343 t=7834
hen cha 	很差	c=1 d=1 t=7089
hen chang jian 	很常見	c=2 d=0.113608 t=7834
hen da 	很大	c=1 d=4.04886e-11 t=7834
